10000,283696,5340900,283618,4821400,283826,5395900,283642,5339500,283706,5111500,283569,13549400,283522,12216400,283665,10792400,283667,2463700,283574,2312300,283568,2538800,283655,2324500,283801,2311800,283810,2317400,283736,2320400,283511,2415500,283707,2369400,283658,2346800,283652,2344500,283685,2351600,283764,2354600,283723,2314000,283843,2269700,283565,2264400,283764,2280800,283670,2267000,283539,2278500,283667,2325800,283488,2267400,283641,2266800,283662,2266500,283579,2264400,283726,2266300,283720,2268900,283764,2265500,283675,2285500,283589,2264000,283634,2264000,283652,2289800,283741,2285800,283666,2265600,283664,2267900,283543,2265600,283766,2282300,283658,2293300,283722,2293600,283801,2276700,283646,2265100,283668,2267400,283713,2324000
20000,607385,4850700,607352,4856200,607551,4885500,607293,4875900,607366,4849700,607201,4883800,607329,4853400,607460,4887300,607456,4878900,607317,4853200,607093,4888600,607293,4878300,607613,4878300,607422,4856000,607561,4885300,607251,4874100,607528,4851300,607346,4861800,607365,4870300,607286,4853500,607420,4881200,607370,4852100,607555,4889900,607237,4854100,607521,4854200,607260,4927200,607195,4850700,607358,4869700,607082,4877900,607215,4851200,607229,4915600,607264,4861500,607375,4859500,607463,4909900,607521,4854600,607249,4849300,607354,4853100,607245,4852600,607265,4890200,607424,4853400,607349,4885500,607313,4854000,607280,4854300,607343,4884000,607236,4850200,607377,4847700,607456,4859400,607314,4855400,607316,4880900,607436,4854500
30000,911056,7804900,910888,8699900,911295,7304600,911019,7339300,910961,7329300,910715,7319800,910960,7296900,911194,7329600,911114,7316600,910950,7305400,910795,7333500,910966,7299400,911268,7324300,911009,7313800,911205,7387300,910980,7318000,911320,7305200,911117,7360000,911009,7295500,911047,7349900,911039,7311300,910966,7303500,911178,7331100,910966,7310300,911181,7375400,910834,7549900,910899,7403100,911059,7349800,910895,8501700,910940,8012100,910880,8704500,910980,8690100,911160,7837600,911074,7303400,911244,7375000,911060,7508800,911009,7678100,911048,8390200,911038,7311300,911163,7327000,911108,7344800,910969,7317200,910900,7574400,911113,7314200,910900,7307800,910968,7339100,911143,7295100,910984,7322000,911048,7300900,911104,7358700
40000,1294729,10395800,1294403,10400900,1294876,10359300,1294786,10395100,1294660,10394600,1294408,10423800,1294635,10392200,1294813,10360400,1294826,10406900,1294630,10418300,1294453,10413200,1294699,10377700,1295076,10399500,1294654,10399600,1294971,10402100,1294717,10417200,1295114,10423400,1294777,18643600,1294573,14975400,1294949,10384300,1294800,10418900,1294780,10398800,1294983,10429500,1294751,10401300,1294748,10355900,1294445,10362200,1294555,10472000,1294694,10403300,1294573,10393800,1294692,10355600,1294584,10371300,1294734,10397900,1294790,10445000,1294761,10418000,1294972,10411400,1294719,10359100,1294730,10380100,1294727,10426600,1294611,10395800,1294794,10402900,1294725,10354800,1294604,10452500,1294419,10392000,1294781,10402900,1294700,10389500,1294609,10419700,1294754,10384400,1294639,10394600,1294621,10403400,1294781,10413100
50000,1618424,13046700,1618095,13013500,1618523,13022200,1618482,12999100,1618144,13031900,1617979,13361100,1618350,13014900,1618632,13011500,1618588,12987600,1618393,13012800,1618155,13060400,1618290,13060300,1618803,13027500,1618455,13012400,1618672,13051800,1618458,13017200,1618779,13019900,1618560,12999600,1618274,13019400,1618647,13008500,1618513,13017200,1618532,13004400,1618793,12976500,1618513,12969600,1618439,13007200,1618069,13004900,1618226,13069100,1618415,13000600,1618180,12977400,1618380,13048200,1618285,13046000,1618366,13057600,1618585,13029100,1618517,13069400,1618700,13001500,1618296,13018600,1618352,13035900,1618416,13037200,1618320,12985700,1618379,13005400,1618385,13001600,1618199,13021800,1618150,13018900,1618191,13008200,1618431,13002900,1618426,13006700,1618530,12999700,1618427,13035500,1618341,13042100,1618291,13181600
60000,1942149,15569200,1941745,15765000,1942128,15758300,1942220,15632100,1941819,19203600,1941682,15768900,1942087,15891400,1942139,15623400,1942311,15626000,1942052,15588300,1941699,15647800,1941934,15608000,1942442,15608600,1942228,15750000,1942349,16121100,1942196,15672000,1942271,15754600,1942212,15684800,1941813,15697100,1942335,16147700,1942209,16098200,1942212,16212800,1942376,16256400,1942197,15711100,1942057,15595000,1941903,15614000,1942001,15612300,1942163,15652300,1941774,15631200,1942068,15616700,1941960,15659300,1941992,15616100,1942260,15622900,1942122,15613800,1942513,15611100,1942093,15633800,1941934,15644900,1942148,15629800,1941942,15650600,1942089,15643600,1941991,15643600,1941809,15589700,1941721,15614300,1941884,15628400,1942001,15625600,1942170,15589400,1942220,15648400,1942076,15733500,1942140,15820100,1941970,15731300
70000,2405723,19373700,2405462,19385400,2405955,19413100,2405927,19368500,2405434,19473700,2405459,19492200,2405738,19279100,2405897,19388200,2406016,19328400,2405860,19334500,2405293,19287000,2405587,19366000,2406034,19389900,2405881,19310200,2406042,19514500,2405877,19469800,2405893,19469000,2405856,23511300,2405438,19323000,2405919,19357700,2405771,19310800,2406042,19412300,2405984,19341800,2405777,19610300,2405635,19381200,2405496,19457500,2405696,26988200,2405735,27418800,2405578,19746300,2405796,19467600,2405676,19354100,2405653,19293500,2405746,19370600,2405973,19342900,2406117,19680900,2405676,19341800,2405582,19423200,2405863,19312000,2405580,19384800,2405731,19331000,2405659,19432000,2405495,19622600,2405350,19359000,2405590,19365200,2405682,19312300,2405753,21844800,2405675,19328800,2405724,19350500,2405883,19319200,2405693,19335200
80000,2749269,22086700,2749165,22138400,2749681,24162700,2749482,22291300,2749177,22180600,2749154,22082400,2749417,22059000,2749455,22307500,2749626,27040400,2749415,24703100,2749028,22393100,2749307,22133900,2749807,22100000,2749615,22099200,2749795,22174500,2749497,22036300,2749660,22068000,2749549,22054400,2749034,22124000,2749649,22196400,2749516,22087800,2749584,22066400,2749692,22049900,2749463,22044100,2749388,22066900,2749184,23712200,2749299,22077600,2749438,22093200,2749174,22093800,2749454,23774000,2749243,30042900,2749508,22162500,2749409,22164600,2749767,22060800,2749932,22046900,2749440,22071000,2749141,22267900,2749500,22074800,2749093,22032200,2749459,22026400,2749198,22121000,2749100,22041600,2749011,22194800,2749326,22493000,2749394,22983100,2749539,22350300,2749301,22200900,2749351,22325500,2749681,23073600,2749469,22269000
90000,3092935,25166700,3092762,24871600,3093344,24935600,3093274,26003100,3092687,24807700,3092832,24773100,3092928,24802200,3092994,24997900,3093263,24815900,3093012,24837100,3092553,24838300,3092926,24812200,3093503,24805700,3093334,24793700,3093422,24790800,3093247,24900600,3093205,25043600,3093101,25144600,3092678,24868100,3093207,24877300,3093147,25102300,3093215,24889100,3093364,24851700,3093143,24878500,3093172,24882800,3092859,24851400,3092971,24829500,3093143,24904600,3092999,24911400,3093188,24823300,3092874,24898100,3093029,24834500,3093117,24862000,3093409,24910300,3093571,25026800,3093114,24819900,3092671,24819300,3093149,25014500,3092839,24847600,3093238,24807800,3092861,24801700,3092870,24818000,3092671,24789400,3093062,25012500,3093199,24801200,3093227,24808100,3092976,24846100,3093084,24807500,3093337,24799500,3093217,24862900
100000,3436626,27606500,3436528,27632200,3436974,27612000,3436848,27631000,3436303,27615200,3436570,27616100,3436579,27653700,3436633,27614900,3437020,27848500,3436735,28156500,3436238,27584000,3436661,27657800,3437132,27599600,3436983,27622800,3437125,27583800,3436993,27619400,3437000,27729400,3436701,27677400,3436309,27659600,3436869,27576100,3436868,27576000,3436843,27601200,3437198,27641800,3436889,27648500,3436935,31463900,3436523,27641600,3436663,27653300,3436825,27682800,3436668,27706400,3436913,28716100,3436560,27958800,3436775,27898600,3436834,27774000,3436961,27640500,3437266,27644300,3436642,27716400,3436365,27713100,3436714,27683700,3436692,27609500,3436973,27731100,3436440,27635000,3436580,27635000,3436310,28144900,3436727,27858700,3436898,28178300,3436917,27872100,3436575,28079100,3436703,28076400,3436967,27655700,3437048,27598800
