10000,153616,1803100,153616,1813100,153616,1806500,153616,1872200,153616,1820800,153616,1830900,153616,1823000,153616,1847200,153616,1822900,153616,1814600,153616,1958600,153616,1817600,153616,1816000,153616,1818600,153616,1818900,153616,1822700,153616,1820800,153616,1853400,153616,1810800,153616,1803700,153616,1808800,153616,1803100,153616,1805000,153616,1857400,153616,1845000,153616,1805900,153616,1810000,153616,1819100,153616,1817700,153616,1799400,153616,1810400,153616,1837600,153616,1822600,153616,1811600,153616,1817400,153616,1819000,153616,1867100,153616,1811800,153616,1846500,153616,1810300,153616,1823500,153616,1807100,153616,1838100,153616,1810000,153616,1811700,153616,1828500,153616,1804400,153616,1807700,153616,1812500,153616,1850100
20000,327232,3871900,327232,3835400,327232,3869500,327232,3840500,327232,3839800,327232,3827900,327232,3827200,327232,3871400,327232,3821300,327232,3835000,327232,3857000,327232,3818500,327232,3872600,327232,3825100,327232,3822500,327232,4093900,327232,3832200,327232,3859000,327232,3882900,327232,3822300,327232,3868000,327232,3974200,327232,3823200,327232,3813400,327232,3864800,327232,3826400,327232,3858100,327232,3874900,327232,3820600,327232,3819300,327232,3870400,327232,3819300,327232,3818400,327232,3820000,327232,3823700,327232,3824000,327232,3863300,327232,3857500,327232,3837700,327232,3822300,327232,3898000,327232,3830000,327232,3848200,327232,3929200,327232,3820000,327232,3819300,327232,3915200,327232,3824700,327232,3827600,327232,3893100
30000,507232,6007600,507232,6070800,507232,6012700,507232,6213500,507232,6004000,507232,6065300,507232,6056300,507232,6054300,507232,6019300,507232,6054800,507232,7143600,507232,6047000,507232,6022300,507232,6170400,507232,6079300,507232,6090200,507232,6052400,507232,6057400,507232,6058800,507232,6062100,507232,6024000,507232,6104100,507232,6014400,507232,6184900,507232,6015400,507232,6076300,507232,6046500,507232,6070300,507232,6050900,507232,6037800,507232,6009700,507232,6015200,507232,6026300,507232,6053200,507232,6015600,507232,6029500,507232,5999800,507232,6055100,507232,6005900,507232,6101800,507232,6029500,507232,6005400,507232,6009800,507232,6019900,507232,6095300,507232,6054900,507232,6093700,507232,6060400,507232,6276100,507232,7674600
40000,694464,8090000,694464,8100000,694464,8008900,694464,8557600,694464,8070400,694464,8044300,694464,8029600,694464,8041000,694464,8040600,694464,7987900,694464,8134100,694464,8071600,694464,7991800,694464,8016400,694464,8093900,694464,7972700,694464,8076000,694464,8084900,694464,7970700,694464,8049200,694464,8024700,694464,7984000,694464,8000000,694464,9060300,694464,9944900,694464,7975500,694464,8073800,694464,8098100,694464,7977800,694464,7995700,694464,8080200,694464,7995600,694464,8061800,694464,8094800,694464,8022200,694464,9127600,694464,8024600,694464,8011800,694464,8105600,694464,8032400,694464,8209000,694464,7983000,694464,8046400,694464,8132600,694464,7996000,694464,8067400,694464,8049700,694464,7982100,694464,8062500,694464,8050200
50000,884464,10231900,884464,10126900,884464,10167300,884464,10176600,884464,10191600,884464,10362600,884464,10247400,884464,10162500,884464,10109300,884464,10128700,884464,10167900,884464,10407100,884464,10208100,884464,10189000,884464,10139200,884464,10425400,884464,10103900,884464,10186800,884464,10151900,884464,10186800,884464,10294700,884464,10165500,884464,10129700,884464,10132600,884464,10211400,884464,10257800,884464,10336800,884464,10195000,884464,10183300,884464,10142900,884464,10259700,884464,10145000,884464,10288400,884464,21200700,884464,13348000,884464,13327800,884464,13338700,884464,11024800,884464,10150800,884464,10298200,884464,11524900,884464,10219800,884464,10152700,884464,10142900,884464,10117200,884464,10147900,884464,10214800,884464,10186100,884464,10130800,884464,10217500
60000,1074464,12395500,1074464,12437900,1074464,12627700,1074464,13035900,1074464,12502500,1074464,12832800,1074464,12475900,1074464,12622000,1074464,12519800,1074464,12475500,1074464,12423800,1074464,12445400,1074464,12457700,1074464,13155500,1074464,12690400,1074464,12452600,1074464,12399200,1074464,12364600,1074464,12396300,1074464,12396700,1074464,12377400,1074464,12418700,1074464,12451700,1074464,12391800,1074464,12376400,1074464,12397000,1074464,12398900,1074464,12365000,1074464,12423800,1074464,12381100,1074464,12364700,1074464,12358000,1074464,12326300,1074464,12365800,1074464,13248400,1074464,12423300,1074464,12447100,1074464,12397600,1074464,12384600,1074464,12409100,1074464,12450300,1074464,12426400,1074464,12489300,1074464,12412700,1074464,12390700,1074464,12468400,1074464,12377800,1074464,12396900,1074464,12376500,1074464,12404200
70000,1268928,14752200,1268928,14726600,1268928,14705700,1268928,14676200,1268928,14702600,1268928,14736800,1268928,14794500,1268928,14675300,1268928,14661500,1268928,14676300,1268928,14699800,1268928,15117600,1268928,14912300,1268928,14933400,1268928,14910700,1268928,14704700,1268928,15174200,1268928,14697900,1268928,14707200,1268928,14645100,1268928,14682900,1268928,14664700,1268928,14686900,1268928,15487500,1268928,14682800,1268928,14809100,1268928,14829200,1268928,14926000,1268928,14659600,1268928,14705200,1268928,14708700,1268928,14633800,1268928,14684500,1268928,14643300,1268928,14692200,1268928,14689300,1268928,14674100,1268928,14647400,1268928,14627600,1268928,14746300,1268928,14691000,1268928,14680800,1268928,14637000,1268928,14709500,1268928,14713000,1268928,14676100,1268928,14826900,1268928,14679300,1268928,14641400,1268928,14658200
80000,1468928,16895100,1468928,16867300,1468928,16901100,1468928,16851800,1468928,16848500,1468928,16992100,1468928,16837900,1468928,16914200,1468928,17790300,1468928,16895100,1468928,16841900,1468928,16955900,1468928,16921700,1468928,17026200,1468928,16916000,1468928,17026700,1468928,16834000,1468928,16927900,1468928,16862500,1468928,16829800,1468928,16908600,1468928,16883300,1468928,16859600,1468928,16856300,1468928,16920400,1468928,16919600,1468928,16975700,1468928,16896700,1468928,16847900,1468928,16887100,1468928,16934300,1468928,16867900,1468928,16860500,1468928,16911000,1468928,16871500,1468928,16855500,1468928,16858400,1468928,16891200,1468928,17132600,1468928,16980700,1468928,17693400,1468928,16913600,1468928,16896500,1468928,16870600,1468928,16932700,1468928,16924000,1468928,16953000,1468928,16844100,1468928,16913800,1468928,16867800
90000,1668928,19243600,1668928,19276500,1668928,19209100,1668928,19275500,1668928,19286700,1668928,19282300,1668928,20620700,1668928,19299000,1668928,19280900,1668928,19347600,1668928,19255200,1668928,19466100,1668928,19742500,1668928,21151100,1668928,19627100,1668928,20417700,1668928,19611300,1668928,19643400,1668928,19824900,1668928,20395600,1668928,19309500,1668928,19279300,1668928,19235600,1668928,19246500,1668928,19328300,1668928,19279500,1668928,19282800,1668928,19274800,1668928,19948200,1668928,19282700,1668928,19537200,1668928,19293800,1668928,19338100,1668928,20245200,1668928,19265400,1668928,19442100,1668928,19305200,1668928,20672400,1668928,19426200,1668928,19435100,1668928,22395400,1668928,20550100,1668928,23123300,1668928,19304000,1668928,19318100,1668928,19682200,1668928,19686200,1668928,19970700,1668928,19360900,1668928,19221000
100000,1868928,21310400,1868928,21360900,1868928,21456500,1868928,21409000,1868928,21456600,1868928,21321900,1868928,21438000,1868928,21336900,1868928,21460700,1868928,21319800,1868928,21348100,1868928,21441600,1868928,21424000,1868928,21511700,1868928,21450400,1868928,21342700,1868928,21385700,1868928,22708900,1868928,21516300,1868928,21454800,1868928,21417600,1868928,21402500,1868928,22123600,1868928,21443900,1868928,21463200,1868928,21367000,1868928,21341000,1868928,23797400,1868928,21813500,1868928,21951600,1868928,22200000,1868928,24674900,1868928,21413700,1868928,21316300,1868928,22357200,1868928,24873800,1868928,23068100,1868928,22022200,1868928,22184600,1868928,21505900,1868928,22686000,1868928,21549200,1868928,21486600,1868928,21322500,1868928,21491200,1868928,21305300,1868928,21316300,1868928,22148800,1868928,21973000,1868928,21331300
